,customer_id,age,region,customer_type,tenure_months,monthly_recharge_xaf,total_recharge_xaf,call_minutes,data_usage_gb,sms_count,last_recharge_date,network_issues_last_3m,device_type,product_bundle,preferred_channel,x_kpca,y_kpca,cluster_kpca
0,f16e3d1b-2cb6-4724-9987-201c9aef7fe8,57,Littoral,Prepaid,52,6731.04,306387.85,282,2.85,23,2025-02-21,1,Smartphone,Mobile Only,App,-0.04035575216349384,0.27957701297281473,1
1,4556fc60-0ec0-4300-9409-8c5d975bb263,58,Extreme-Nord,Postpaid,1,2011.89,2365.85,282,7.05,29,2024-12-02,1,Smartphone,Mobile + Box,App,-0.26168391653709955,0.009887727635550472,2
2,5940857b-ae4c-491a-a1d3-cd0a1649ea84,34,Adamaoua,Prepaid,51,16007.4,704362.01,323,6.5,18,2025-05-27,0,Smartphone,Mobile Only,Agency,0.48752698283811025,-0.030009147759924873,3
3,6a582582-d00f-4e67-90f0-45146c7609c7,27,Est,Postpaid,11,2684.78,26939.74,393,5.61,24,2024-08-26,0,Smartphone,Mobile Only,USSD,-0.4205929112314461,0.12095435646095873,2
4,942981a0-2daf-4160-9c9b-533ffe650f1d,28,Nord,Prepaid,67,8134.8,486775.63,255,6.36,14,2024-11-23,0,4G Box,Mobile Only,USSD,0.18469457683024496,0.33739137017759196,1
5,e6eb954a-877a-4528-8c92-fb8ea0393cbd,25,Sud-Ouest,Prepaid,67,7738.71,521687.87,203,0.0,23,2024-08-05,1,Smartphone,Mobile Only,Agency,0.17566214289793688,0.24408472214638058,1
6,ad10ccc3-7efd-405e-b64f-dd0f57f553ae,64,Extreme-Nord,Prepaid,54,2564.75,121515.01,225,4.09,10,2024-07-15,0,Smartphone,Mobile Only,Agency,-0.09886811119655285,0.22500555402044872,1
7,13530955-22e6-47ae-95e6-59b613df4f55,25,Sud-Ouest,Prepaid,70,13717.18,1095482.88,292,3.04,23,2024-06-21,0,Feature Phone,Mobile Only,Call Center,0.5151560052596419,0.11112513836965274,3
8,2b56b929-1ccb-45a9-9172-9359d5d1e86d,24,Ouest,Prepaid,32,4888.38,152202.06,255,15.36,23,2024-12-09,1,Fiber Modem,Mobile + Box,App,-0.09915540181588811,0.1389581292908952,1
9,e2a17445-2564-4efd-86b0-42cc1af1ca3e,41,Nord-Ouest,Prepaid,17,8485.66,115560.69,170,10.61,24,2024-11-29,0,Smartphone,Mobile Only,App,-0.2670924217888681,-0.004004178800942935,2
10,71bc137f-7f6d-4da2-adca-c368db1f9c9e,32,Littoral,Prepaid,22,17115.09,388316.38,468,7.99,21,2025-03-22,0,Feature Phone,Mobile Only,Call Center,0.043321964222454615,-0.24732203979343007,0
